&nbsp;,Time,Freq.,RSSI,SNR,TxPwr,CRC,mod.,CR,DataRate,FCnt,AirTime,DevAddr,FPort,Payload Size,MAC Command
Unconfirmed Data Up,18:58:21,867.5,-44,10,-,CRC_OK,LORA,'4/5',SF7BW125,8908,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 AA 7C 4E 8B 6F D4 E8 C2 17 86 BD 8A 42 6D F3 83 </span>
Unconfirmed Data Up,18:58:21,867.5,-45,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8907,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 36 45 07 CD 54 59 39 A8 9C 99 E8 99 B8 67 DA 27 </span>
Unconfirmed Data Up,18:58:21,867.5,-45,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8906,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 37 2A E3 6E 23 2E 84 ED 65 12 1A 0A F2 EB FD 6E </span>
Unconfirmed Data Up,18:56:21,867.5,-45,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8899,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 93 FF FD BC 4A BA 99 26 10 5A 35 98 4B 20 06 B5 </span>
Unconfirmed Data Up,18:56:21,867.5,-45,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8898,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 13 9D 90 57 7C 1F 78 CE 36 24 5F 80 76 0E C6 19 </span>
Unconfirmed Data Up,18:56:21,867.5,-45,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8897,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 9E 44 E8 D1 79 96 62 0E F2 EE 4A 8A 0F 15 B4 43 </span>
Unconfirmed Data Up,18:56:21,867.5,-45,10,-,CRC_OK,LORA,'4/5',SF7BW125,8896,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 AA E5 A6 86 91 0D 61 24 E3 41 C3 C5 1B 55 0D BD </span>
Unconfirmed Data Up,18:56:21,867.5,-44,10.75,-,CRC_OK,LORA,'4/5',SF7BW125,8895,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 EB 11 10 DC 2D CB 02 8F 1A 9F C6 3A 24 D8 3C 8F </span>
Unconfirmed Data Up,18:56:21,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8894,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 65 16 47 B0 74 6F FD 2B 37 5E 2C 62 23 7F 89 E6 </span>
Unconfirmed Data Up,18:54:21,867.5,-45,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8887,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 20 88 B0 2A B2 3C 15 6D 47 78 41 D3 86 B6 08 C3 </span>
Unconfirmed Data Up,18:54:21,867.5,-45,10,-,CRC_OK,LORA,'4/5',SF7BW125,8886,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 EC F1 06 06 4E 44 F7 7A 2E 45 CB 45 25 C8 5F 55 </span>
Unconfirmed Data Up,18:54:21,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8885,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 CB F4 8D 4A 33 50 8D 9C 05 7E 64 7E 4A 22 4E 25 </span>
Unconfirmed Data Up,18:54:21,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8884,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 E1 22 0C 4C FA 3C 56 14 3B A8 6B EF 67 9A D4 07 </span>
Unconfirmed Data Up,18:54:21,867.5,-44,10.75,-,CRC_OK,LORA,'4/5',SF7BW125,8883,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 FF 48 CF 1D 11 82 3F 78 E1 4E A9 08 8D 7B F2 D7 </span>
Unconfirmed Data Up,18:54:21,867.5,-44,10.75,-,CRC_OK,LORA,'4/5',SF7BW125,8882,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 E0 5B 70 27 70 8A 25 24 F3 A7 42 06 34 1E 2D 39 </span>
Unconfirmed Data Up,18:52:21,867.5,-45,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8875,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 45 58 D6 C6 43 79 E8 5D BF E4 87 43 2D 48 DF 65 </span>
Unconfirmed Data Up,18:52:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8874,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 FA BB 10 92 8C 52 D1 ED 91 B2 7D D7 69 07 1A 9E </span>
Unconfirmed Data Up,18:52:21,867.5,-43,8.25,-,CRC_OK,LORA,'4/5',SF7BW125,8873,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 DB 1B B2 4F DE AE D7 31 67 68 F7 C9 C0 16 2F D9 </span>
Unconfirmed Data Up,18:52:21,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8872,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 07 A8 BF A2 2C 72 1A 4F 63 85 3B A4 2C C5 4D AB </span>
Unconfirmed Data Up,18:52:21,867.5,-44,10.75,-,CRC_OK,LORA,'4/5',SF7BW125,8871,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 CA 4B 8C 33 E6 AE 92 32 BC 91 BD C5 18 6F 43 A9 </span>
Unconfirmed Data Up,18:52:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8870,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 10 A3 4C 4C 26 C0 74 7D CE E8 F6 CC A8 50 3F FC </span>
Unconfirmed Data Up,18:50:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8863,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 4D C6 67 A5 C6 3F 32 96 A7 AA 95 C6 0D 38 0C 13 </span>
